length_mm,diameter1_mm,diameter2_mm
0.000,1.7468,1.7892
0.000,1.7467,1.7892
0.000,1.7468,1.7895
0.000,1.7438,1.7893
0.000,1.7468,1.7893
0.000,1.7467,1.7894
0.000,1.7467,1.7893
0.000,1.7467,1.7894
0.000,1.7467,1.7893
0.000,1.7437,1.7894
0.000,1.7467,1.7893
0.000,1.7467,1.7893
0.000,1.7467,1.7893
0.000,1.7438,1.7919
0.000,1.7434,1.7893
0.000,1.7426,1.7814
2.743,1.7831,1.8026
6.629,1.7514,1.7993
6.629,1.7511,1.7992
6.629,1.7510,1.7991
6.629,1.7534,1.7987
6.629,1.7512,1.7925
10.286,1.7833,1.7961
16.000,1.7527,1.7764
18.743,1.7927,1.7872
21.029,1.7730,1.7932
23.771,1.7464,1.7760
26.971,1.7895,1.7923
34.743,1.7818,1.7838
42.057,1.7735,1.7768
45.486,1.7585,1.7803
49.371,1.7640,1.7728
50.057,1.7755,1.7975
54.400,1.7507,1.7833
56.229,1.7519,1.7790
57.829,1.7825,1.7982
61.029,1.7649,1.7935
65.600,1.7766,1.7908
68.114,1.7689,1.7923
68.114,1.7689,1.7922
68.571,1.7637,1.7880
72.914,1.7679,1.7805
78.629,1.7404,1.7827
83.429,1.7833,1.7964
88.457,1.7621,1.7756
92.571,1.7708,1.7880
95.771,1.7589,1.7827
100.114,1.7659,1.7875
103.771,1.7603,1.7779
109.257,1.7534,1.7938
113.143,1.7741,1.7763
113.143,1.7775,1.7763
113.143,1.7745,1.7762
113.143,1.7742,1.7763
113.143,1.7741,1.7759
113.143,1.7741,1.7761
113.143,1.7775,1.7970
118.171,1.7534,1.7850
122.971,1.7789,1.7977
127.543,1.7549,1.7983
132.800,1.7561,1.7910
134.171,1.7489,1.7780
140.800,1.7524,1.7841
142.629,1.7506,1.7842
142.629,1.7500,1.7841
142.629,1.7498,1.7842
142.629,1.7500,1.7843
142.629,1.7499,1.7832
149.486,1.7532,1.7965
158.171,1.7532,1.8054
166.400,1.7596,1.7833
171.200,1.7698,1.7791
177.829,1.7636,1.7937
188.571,1.7844,1.7959
189.486,1.7804,1.7956
192.914,1.7556,1.7950
197.714,1.7757,1.7978
197.714,1.7739,1.7975
197.714,1.7732,1.8009
203.657,1.7942,1.7788
212.343,1.7898,1.7868
212.343,1.7897,1.7866
218.057,1.7754,1.7968
226.057,1.7842,1.8001
232.686,1.7484,1.7988
241.829,1.7713,1.7789
248.457,1.7532,1.7807
249.600,1.7663,1.7795
249.600,1.7629,1.7797
249.600,1.7630,1.7806
251.657,1.7793,1.8020
258.057,1.7749,1.8037
263.543,1.7384,1.7960
264.457,1.7502,1.7977
268.800,1.7542,1.8010
268.800,1.7542,1.8011
268.800,1.7541,1.8045
269.486,1.7456,1.8019
269.714,1.7437,1.8017
269.714,1.7436,1.8018
269.714,1.7437,1.8017
272.229,1.7504,1.7815
279.086,1.7372,1.7735
284.800,1.7640,1.7853
286.857,1.7397,1.7851
286.857,1.7417,1.7822
293.029,1.7527,1.7820
300.571,1.7617,1.7864
305.600,1.7733,1.7784
305.600,1.7736,1.7787
305.600,1.7734,1.7809
305.600,1.7739,1.7809
305.600,1.7737,1.7784
305.600,1.7739,1.7810
305.600,1.7739,1.7809
305.600,1.7738,1.7808
305.600,1.7738,1.7808
305.600,1.7735,1.7810
305.600,1.7737,1.7810
305.600,1.7761,1.7818
310.857,1.7492,1.7871
319.314,1.7524,1.7755
320.000,1.7619,1.7753
320.229,1.7641,1.7775
332.114,1.7617,1.7790
335.314,1.7531,1.7788
335.543,1.7511,1.7737
336.457,1.7656,1.7747
336.686,1.7661,1.7748
336.686,1.7659,1.7746
336.686,1.7661,1.7747
336.686,1.7658,1.7745
336.686,1.7659,1.7745
336.686,1.7660,1.7745
336.686,1.7658,1.7745
336.686,1.7659,1.7746
336.686,1.7660,1.7746
336.686,1.7657,1.7744
339.200,1.7699,1.7942
341.486,1.7482,1.7940
341.943,1.7470,1.7797
349.029,1.7505,1.7731
357.257,1.7550,1.7792
